Leave_ID,Employee_ID,Leave_Type,Start_Date,End_Date,Total_Days,Approval_Status
L000001,E00001,Sick,2024-09-01,2024-09-02,2,Approved
L000002,E00002,Annual,2024-05-06,2024-05-12,7,Approved
L000003,E00002,Maternity,2023-02-13,2023-04-29,76,Approved
L000004,E00002,Annual,2023-06-25,2023-06-26,2,Approved
L000005,E00002,Casual,2024-07-09,2024-07-09,1,Approved
L000006,E00002,Casual,2023-07-21,2023-07-21,1,Approved
L000007,E00002,Annual,2023-03-23,2023-03-29,7,Approved
L000008,E00002,Unpaid,2024-03-18,2024-03-24,7,Approved
L000009,E00002,Casual,2024-11-21,2024-11-21,1,Approved
L000010,E00002,Casual,2025-03-21,2025-03-24,4,Approved
L000011,E00003,Annual,2023-08-28,2023-08-29,2,Approved
L000012,E00003,Annual,2023-08-24,2023-08-25,2,Approved
L000013,E00003,Sick,2023-10-12,2023-10-15,4,Rejected
L000014,E00004,Sick,2025-04-30,2025-05-04,5,Approved
L000015,E00004,Casual,2023-07-05,2023-07-05,1,Approved
L000016,E00005,Sick,2024-04-25,2024-04-26,2,Approved
L000017,E00005,Sick,2024-11-21,2024-11-21,1,Approved
L000018,E00005,Casual,2024-08-29,2024-09-01,4,Approved
L000019,E00005,Casual,2024-07-03,2024-07-08,6,Rejected
L000020,E00005,Casual,2024-07-30,2024-08-04,6,Approved
L000021,E00006,Sick,2021-03-26,2021-04-01,7,Approved
L000022,E00006,Annual,2022-07-20,2022-07-24,5,Approved
L000023,E00006,Annual,2022-04-23,2022-04-23,1,Rejected
L000024,E00007,Annual,2025-04-15,2025-04-17,3,Approved
L000025,E00007,Sick,2024-07-24,2024-07-25,2,Approved
L000026,E00007,Maternity,2025-01-19,2025-03-31,72,Rejected
L000027,E00007,Sick,2025-01-26,2025-02-01,7,Approved
L000028,E00007,Casual,2024-10-14,2024-10-19,6,Approved
L000029,E00007,Annual,2025-02-14,2025-02-18,5,Pending
L000030,E00007,Casual,2025-01-16,2025-01-20,5,Approved
L000031,E00007,Annual,2025-05-30,2025-05-30,1,Approved
L000032,E00008,Paternity,2025-02-23,2025-03-07,13,Approved
L000033,E00008,Sick,2024-02-23,2024-02-24,2,Approved
L000034,E00008,Sick,2024-06-03,2024-06-08,6,Rejected
L000035,E00008,Unpaid,2025-01-17,2025-01-19,3,Pending
L000036,E00008,Paternity,2024-12-26,2024-12-30,5,Approved
L000037,E00008,Unpaid,2024-02-23,2024-02-28,6,Approved
L000038,E00008,Annual,2023-09-02,2023-09-05,4,Rejected
L000039,E00008,Casual,2024-12-01,2024-12-07,7,Approved
L000040,E00009,Sick,2025-02-19,2025-02-19,1,Approved
L000041,E00009,Sick,2025-05-29,2025-05-29,1,Pending
L000042,E00009,Annual,2020-01-23,2020-01-24,2,Approved
L000043,E00009,Annual,2023-11-25,2023-11-29,5,Approved
L000044,E00009,Casual,2022-12-01,2022-12-05,5,Approved
L000045,E00009,Sick,2023-10-23,2023-10-23,1,Approved
L000046,E00009,Annual,2020-07-06,2020-07-12,7,Approved
L000047,E00009,Sick,2024-06-28,2024-06-28,1,Approved
L000048,E00009,Casual,2024-07-21,2024-07-22,2,Approved
L000049,E00009,Unpaid,2025-04-04,2025-04-04,1,Approved
L000050,E00009,Annual,2024-04-19,2024-04-21,3,Approved
L000051,E00011,Annual,2024-07-10,2024-07-10,1,Approved
L000052,E00011,Sick,2024-09-01,2024-09-02,2,Pending
L000053,E00012,Casual,2025-05-18,2025-05-20,3,Approved
L000054,E00012,Casual,2025-04-30,2025-05-03,4,Rejected
L000055,E00012,Casual,2025-06-24,2025-06-30,7,Pending
L000056,E00013,Paternity,2023-06-08,2023-06-21,14,Approved
L000057,E00013,Sick,2024-03-26,2024-03-27,2,Approved
L000058,E00013,Sick,2023-05-29,2023-05-31,3,Approved
L000059,E00013,Sick,2023-12-21,2023-12-24,4,Approved
L000060,E00013,Sick,2024-07-30,2024-07-30,1,Approved
L000061,E00013,Casual,2024-03-02,2024-03-03,2,Approved
L000062,E00014,Annual,2022-04-27,2022-05-03,7,Approved
L000063,E00014,Annual,2022-03-02,2022-03-06,5,Approved
L000064,E00014,Unpaid,2022-08-03,2022-08-08,6,Approved
L000065,E00014,Casual,2022-07-17,2022-07-21,5,Approved
L000066,E00014,Sick,2022-02-25,2022-02-25,1,Approved
L000067,E00014,Paternity,2022-04-15,2022-04-19,5,Approved
L000068,E00014,Sick,2022-10-11,2022-10-15,5,Approved
L000069,E00014,Casual,2022-03-18,2022-03-22,5,Approved
L000070,E00015,Casual,2024-05-12,2024-05-14,3,Approved
L000071,E00015,Casual,2023-11-26,2023-11-26,1,Approved
L000072,E00015,Casual,2024-09-09,2024-09-15,7,Approved
L000073,E00015,Sick,2024-10-13,2024-10-16,4,Rejected
L000074,E00015,Casual,2024-05-24,2024-05-25,2,Approved
L000075,E00015,Annual,2024-12-11,2024-12-13,3,Approved
L000076,E00015,Annual,2024-01-10,2024-01-12,3,Rejected
L000077,E00015,Paternity,2024-09-29,2024-10-09,11,Approved
L000078,E00015,Unpaid,2025-05-19,2025-05-20,2,Approved
L000079,E00015,Maternity,2024-11-23,2025-02-08,78,Approved
L000080,E00016,Casual,2025-01-16,2025-01-18,3,Approved
L000081,E00016,Casual,2024-04-27,2024-05-02,6,Approved
L000082,E00016,Casual,2023-04-10,2023-04-15,6,Approved
L000083,E00016,Annual,2025-05-15,2025-05-15,1,Approved
L000084,E00017,Casual,2024-01-30,2024-02-03,5,Approved
L000085,E00017,Casual,2025-03-12,2025-03-18,7,Approved
L000086,E00017,Casual,2024-05-25,2024-05-28,4,Approved
L000087,E00017,Paternity,2025-05-20,2025-05-30,11,Approved
L000088,E00017,Unpaid,2024-02-19,2024-02-19,1,Approved
L000089,E00017,Annual,2025-06-07,2025-06-08,2,Rejected
L000090,E00017,Annual,2024-07-21,2024-07-22,2,Approved
L000091,E00017,Casual,2025-05-30,2025-06-05,7,Approved
L000092,E00017,Sick,2023-06-19,2023-06-19,1,Approved
L000093,E00017,Annual,2023-04-17,2023-04-19,3,Approved
L000094,E00017,Casual,2024-12-23,2024-12-28,6,Approved
L000095,E00017,Annual,2023-12-15,2023-12-15,1,Rejected
L000096,E00018,Sick,2022-11-12,2022-11-13,2,Approved
L000097,E00018,Casual,2023-04-29,2023-05-05,7,Approved
L000098,E00018,Sick,2023-03-31,2023-04-03,4,Approved
L000099,E00018,Casual,2024-08-31,2024-09-01,2,Approved
L000100,E00018,Casual,2023-12-12,2023-12-18,7,Approved
L000101,E00018,Sick,2022-11-30,2022-12-06,7,Approved
L000102,E00018,Sick,2023-08-24,2023-08-29,6,Approved
L000103,E00018,Casual,2023-08-25,2023-08-29,5,Approved
L000104,E00018,Casual,2023-07-27,2023-07-29,3,Approved
L000105,E00018,Annual,2024-10-20,2024-10-24,5,Approved
