Performance_ID,Employee_ID,Review_Date,Reviewer_ID,KPI_Score,Productivity_Score,Attendance_Score,Teamwork_Score,Overall_Rating,Promotion_Recommendation
PF000001,E00001,2024-08-05,E00001,87.2,72.0,65.9,97.0,Good,No
PF000002,E00001,2025-02-03,E00001,63.4,69.1,82.7,88.0,Good,No
PF000003,E00002,2023-07-31,E00002,73.8,53.2,75.8,81.2,Good,No
PF000004,E00002,2024-01-29,E00002,82.5,72.6,80.0,59.9,Good,No
PF000005,E00002,2024-07-29,E00002,62.0,72.5,82.0,76.9,Good,Yes
PF000006,E00002,2025-01-27,E00002,75.7,70.7,82.3,81.0,Good,Yes
PF000007,E00003,2023-08-01,E00003,64.9,88.7,92.6,82.6,Good,No
PF000008,E00004,2023-12-22,E00004,71.2,84.2,65.6,96.2,Good,No
PF000009,E00004,2024-06-21,E00004,67.0,91.0,93.9,74.1,Good,No
PF000010,E00004,2024-12-20,E00004,72.6,76.5,89.2,79.3,Good,No
PF000011,E00004,2025-06-20,E00004,55.5,62.1,81.9,93.4,Good,Yes
PF000012,E00005,2024-04-21,E00005,60.3,76.9,85.0,75.2,Good,No
PF000013,E00005,2024-10-20,E00005,52.7,60.3,72.4,60.3,Average,No
PF000014,E00005,2025-04-20,E00005,70.2,63.3,78.3,70.8,Good,Yes
PF000015,E00006,2021-08-28,E00006,76.8,68.3,69.9,79.1,Good,No
PF000016,E00006,2022-02-26,E00006,90.4,75.2,75.3,78.2,Good,Yes
PF000017,E00007,2025-01-09,E00007,72.6,86.8,90.2,75.0,Good,Yes
PF000018,E00008,2022-09-02,E00008,71.1,90.7,73.4,75.9,Good,Yes
PF000019,E00008,2023-03-03,E00008,62.4,78.0,77.2,69.3,Good,No
PF000020,E00008,2023-09-01,E00008,74.7,82.5,84.8,83.5,Good,Yes
PF000021,E00008,2024-03-01,E00008,82.4,56.0,85.7,77.4,Good,No
PF000022,E00008,2024-08-30,E00008,77.3,86.5,68.1,72.6,Good,Yes
PF000023,E00008,2025-02-28,E00008,62.2,65.5,78.5,74.6,Good,Yes
PF000024,E00009,2020-06-29,E00009,78.4,66.8,65.2,50.7,Average,No
PF000025,E00009,2020-12-28,E00009,66.4,77.4,81.5,38.3,Average,No
