Training_ID,Employee_ID,Training_Name,Provider,Start_Date,End_Date,Training_Cost,Certification_Status
T000001,E00001,Effective Communication,LinkedIn Learning,2024-07-01,2024-07-09,2416.43,Completed
T000002,E00001,Diversity & Inclusion Workshop,Internal L&D,2024-08-22,2024-08-25,1428.89,Completed
T000003,E00002,Power BI for Business,Microsoft Learn,2025-04-19,2025-04-26,646.84,In Progress
T000004,E00002,Cloud Computing Fundamentals,AWS Training,2024-02-24,2024-03-04,1957.78,Not Certified
T000005,E00004,Customer Service Excellence,Internal L&D,2023-07-08,2023-07-16,711.45,Completed
T000006,E00004,Cloud Computing Fundamentals,AWS Training,2024-03-23,2024-04-02,705.18,Completed
T000007,E00004,Agile & Scrum Master,Scrum.org,2025-03-26,2025-04-04,1839.46,Completed
T000008,E00004,Workplace Safety & Compliance,Internal L&D,2023-09-08,2023-09-16,2207.07,In Progress
T000009,E00004,Diversity & Inclusion Workshop,Internal L&D,2023-12-28,2023-12-30,817.28,In Progress
T000010,E00005,Effective Communication,LinkedIn Learning,2025-01-19,2025-01-27,2921.62,Completed
T000011,E00005,Customer Service Excellence,Internal L&D,2024-09-07,2024-09-13,1053.17,Not Certified
T000012,E00005,Financial Modeling,Wall Street Prep,2023-12-06,2023-12-08,1661.79,Completed
T000013,E00005,Six Sigma Green Belt,ASQ,2024-11-02,2024-11-12,1292.61,Completed
T000014,E00005,Cybersecurity Awareness,Udemy,2025-04-19,2025-04-22,2254.18,Completed
T000015,E00005,Diversity & Inclusion Workshop,Internal L&D,2024-02-02,2024-02-11,2204.74,Completed
T000016,E00006,Cloud Computing Fundamentals,AWS Training,2022-01-04,2022-01-11,982.97,In Progress
T000017,E00006,Customer Service Excellence,Internal L&D,2022-03-01,2022-03-11,536.48,Completed
T000018,E00006,Cybersecurity Awareness,Udemy,2021-11-25,2021-12-01,1872.45,Completed
T000019,E00006,Diversity & Inclusion Workshop,Internal L&D,2022-06-02,2022-06-07,2076.85,Completed
T000020,E00007,Diversity & Inclusion Workshop,Internal L&D,2024-09-13,2024-09-18,382.38,Completed
T000021,E00007,Project Management Professional,PMI,2025-03-05,2025-03-09,351.08,In Progress
T000022,E00008,Cloud Computing Fundamentals,AWS Training,2022-03-10,2022-03-14,1509.48,Completed
T000023,E00008,Advanced Excel & Data Analysis,Coursera,2023-09-16,2023-09-20,2963.44,Completed
T000024,E00008,Diversity & Inclusion Workshop,Internal L&D,2024-10-18,2024-10-24,1563.3,Not Certified
T000025,E00008,Financial Modeling,Wall Street Prep,2025-03-23,2025-03-30,2085.53,Not Certified
T000026,E00009,Effective Communication,LinkedIn Learning,2024-11-20,2024-11-30,2088.5,Completed
T000027,E00009,Cybersecurity Awareness,Udemy,2021-12-18,2021-12-23,392.78,Completed
T000028,E00009,Python for Data Analysis,Coursera,2023-08-11,2023-08-19,395.22,Completed
T000029,E00009,Agile & Scrum Master,Scrum.org,2023-07-24,2023-08-01,1285.17,Completed
T000030,E00009,Cloud Computing Fundamentals,AWS Training,2023-06-04,2023-06-08,3077.21,Completed
T000031,E00009,Leadership Excellence,Dale Carnegie,2020-08-23,2020-09-01,2327.02,Not Certified
T000032,E00013,Financial Modeling,Wall Street Prep,2023-08-20,2023-08-30,1358.95,Completed
T000033,E00013,Financial Modeling,Wall Street Prep,2024-08-15,2024-08-17,1226.66,Completed
T000034,E00014,Cloud Computing Fundamentals,AWS Training,2021-12-05,2021-12-11,792.7,Completed
T000035,E00014,Workplace Safety & Compliance,Internal L&D,2022-01-28,2022-02-06,1932.72,In Progress
T000036,E00015,Agile & Scrum Master,Scrum.org,2024-05-11,2024-05-17,440.92,Completed
T000037,E00015,Diversity & Inclusion Workshop,Internal L&D,2024-06-11,2024-06-16,1153.01,Completed
T000038,E00017,Workplace Safety & Compliance,Internal L&D,2024-04-18,2024-04-23,1312.27,Completed
T000039,E00017,Effective Communication,LinkedIn Learning,2024-05-24,2024-05-27,3030.75,Completed
T000040,E00017,Advanced Excel & Data Analysis,Coursera,2025-06-25,2025-07-04,1973.49,Completed
T000041,E00018,Project Management Professional,PMI,2024-12-23,2024-12-31,966.53,Not Certified
T000042,E00018,Customer Service Excellence,Internal L&D,2023-02-12,2023-02-14,347.03,Completed
T000043,E00018,Agile & Scrum Master,Scrum.org,2023-09-08,2023-09-12,2745.97,Not Certified
T000044,E00018,Sales Negotiation Skills,Miller Heiman,2023-11-23,2023-11-28,2498.13,Completed
T000045,E00019,Leadership Excellence,Dale Carnegie,2023-03-21,2023-03-25,1579.31,Completed
T000046,E00019,Cloud Computing Fundamentals,AWS Training,2023-01-29,2023-02-02,2301.48,Completed
T000047,E00019,Advanced Excel & Data Analysis,Coursera,2023-02-22,2023-03-03,1347.37,In Progress
T000048,E00019,Effective Communication,LinkedIn Learning,2022-01-14,2022-01-21,2967.3,In Progress
T000049,E00020,Power BI for Business,Microsoft Learn,2024-04-19,2024-04-29,1066.62,In Progress
T000050,E00021,Cloud Computing Fundamentals,AWS Training,2022-05-12,2022-05-15,786.39,Completed
T000051,E00021,Leadership Excellence,Dale Carnegie,2022-02-09,2022-02-15,741.54,Not Certified
T000052,E00021,Financial Modeling,Wall Street Prep,2021-09-28,2021-10-08,2831.44,In Progress
T000053,E00021,Effective Communication,LinkedIn Learning,2021-11-29,2021-12-06,1371.9,Completed
